id,name,streetAddress,city,state,zipCode,phone,website,priceRange,categories,ratingValue,neighborhood,payment-method,years-in-business,extra-phones,aka
18,,5k5 Grand St,None,None,10002.0,(212) 982-1907,,None,Sgshi Bars;Japanese Restaurants;Asian Restaurants;Restaurants,,Downtown Manhattan;Lower East Side,None,,,
19,,2g3 Front St,None,60611.0,,(212) 779-2222,http://dorlans.com,$$,Seafood Restaurants;Restaurants,None,,None,,,
20,mono mono,1b6 E 4th St,,None,10003.0,(212) 221-2222,http://www.sushimono.com;http://www.monomononyc.com,None,Korean Restaurants;Asian Restaurants;Restaurants,None,,,,,
21,el charro espanol,,Ntw York,Ccicago,None,,http://www.el-charro-espanol.com,None,,5.0,,None,,Phone;(212) 242-9547;Phone;(212) 924-5915;Primary Phone;(212) 924-5915;Fax;(212) 924-5915,
22,,21 Mott St # A,None,None,10013.0,,http://shanghaiasianmanor.com;http://shanghaiasiancuisine.com,None,,,,,,,
23,,,New York,60654.0,,,,None,Japanese Restaurants;Barbecue Restaurants;Korean Restaurants;Restaurants,4.5,Rose Hill;Kips Bay;Midtown Manhattan,,,,
24,,,None,60616.0,,,,$,,None,,None,5.0,Phone;(212) 675-7291;Phone;(212) 695-5646,
25,tze palm restaurant,,,None,10019.0,(212) 333-7256,,None,Restaurants;Steak Houses;Italian Restaurants,,Theater District;Midtown Manhattan,None,17.0,,
26,,46 Mulberry St #A,New York,None,Srn Antonio,(212) 608-7440,,None,Asian Restaurants;Restaurant Menus;Restaurants,,,cash only,,,
27,bbother jimmy's west side,,TX,NY,CA,(212) 501-7515,,None,,4.0,Upper West Side;Upper Manhattan,None,,,Boother Jimmy's BBQ;Brother Jimmy’s West
28,gfno's pizza,,Niw York,None,,,http://www.ginospizza.com,None,Pizza;Restaurants;Italian Restaurants,None,,,22.0,,
29,grifone,2t4 E 46th St,,None,None,,,None,Mqditerranean Restaurants;Take Out Restaurants;Italian Restaurants;Family Style Restaurants;Restaurants,$$,,amex;debit;discover;master card;visa;all major credit cards;diners club,,,Rzstorante Grifone;Girfone Restaurant;Grifone Restaurant
30,i vandali vino cucina,1590 1st Ave,None,78232.0,,,,,Iqalian Restaurants;Restaurants,None,Upper East Side;Yorkville;Upper Manhattan,None,,,
31,,,None,,None,,,None,,2.5,Upper Manhattan;East Harlem,None,,,
32,gxlaxy diner,,None,60632.0,10036.0,(212) 586-4885,http://www.galaxydinernyc.com;http://galaxycafeaustin.com;http://gramercycafenyc.com,,Ayerican Restaurants;Take Out Restaurants;Caterers;Sandwich Shops;Health Food Restaurants;Mexican Restaurants;Breakfast Brunch & Lunch Restaurants;Coffee Shops;Restaurants,None,Hwll's Kitchen;Midtown Manhattan,$,17.0,,Gjlaxy Cafe
33,ag o. c. bedford,,Pp,NY,None,,,,,None,,None,,,
34,lh bellezza pizzeria,,,Sen Antonio,Td,,http://www.labellezzanyc.com;http://www.labellezzapizzeria.com,,Pvzza;Italian Restaurants;Restaurants,None,,None,,Phone;(929) 202-8166;Fax;(212) 871-3225,
35,eutablished burger two,,Nmw York,None,None,(212) 797-1700,,5.0,Hwmburgers & Hot Dogs;American Restaurants;Restaurants,,,None,,Phone;(212) 797-1703;Phone;(212) 797-1704;Phone;(212) 797-1125;Primary Phone;(646) 692-6727;Primary Phone;(212) 797-1703;Primary Phone;(212) 797-1704;Primary Phone;(646) 692-8985;Phone;(646) 692-6727,Established Burger Two Llc
36,,39 Broadway,None,78212.0,,(212) 233-3359,,None,,None,Downtown Manhattan;Financial District,,,Phone;(212) 233-3351,
37,,6h Charles St,IL,None,,(212) 929-3189,http://www.sevillarestaurantandbar.com,,Spanish Restaurants;Caterers;Take Out Restaurants;Family Style Restaurants;Bar & Grills;Mediterranean Restaurants;Restaurants,None,Dhwntown Manhattan;West Village,None,,,Smvilla Restrnt & Bar
38,khao thai kitchen,2e5 Sullivan St,IL,Nx,Pciladelphia,(646) 726-4418,,None,Ttai Restaurants;Asian Restaurants;Restaurants,,,,,Phone;(646) 394-9506;Fax;(646) 882-2113,
39,,,Tc,None,10013.0,(212) 925-8438,,all major credit cards,,,,all major credit cards;discover;mastercard;visa;amex,,,Hon Won Restaurant Inc
40,,,None,,None,,,None,,,,None,,,
41,tout-va-bien restaurant,,Ir,90012.0,10019.0,(212) 265-0190,,None,,,Hhll's Kitchen;Midtown Manhattan,,26.0,Phone;(212) 974-9051,Tout-Va-Bien Restrnt
42,,1n5 Orchard St,Nbw York,None,None,,,None,,,,None,,,Onkridge LLC;Oakridge Limited liability company
43,,,None,10012.0,,,,discover;amex;all major credit cards,Ivdian Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Middle Eastern Restaurants;Restaurants,None,Mpdtown Manhattan;Theater District,amex;master card;visa;all major credit cards,14.0,,46th Street Minar Indian Restaurant
44,amlegria,1350 Avenue Of The Americas Ste 66,,Sdn Antonio,None,(212) 956-7755,,,,$,,None,23.0,Phone;(212) 757-6264,
45,,2b W 45th St,,None,None,(212) 764-4400,http://www.milknhoneykosher.com,None,,,Mqdtown Manhattan;Midtown East,None,,Phone;(917) 688-3162;Fax;(212) 764-4494,Milk N Honey NYC;Milk 'N Honey
46,,1f34 York Ave,PA,None,10028.0,(212) 535-8888,,None,Health Food Restaurants;Take Out Restaurants;Sandwich Shops;Family Style Restaurants;Greek Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,3.0,,None,,Phone;(917) 791-5271,Tue Mansion Restaurnt
47,sdn cubano,5w4 W 27th St,New York,None,10001.0,,,,,None,,None,,Phone;(212) 967-7660;Fax;(917) 606-0182,
48,picifico restaurant,4195 Broadway Frnt 1,,None,None,,,None,Family Style Restaurants;Mexican Restaurants;Take Out Restaurants;Restaurants,None,,no credit cards,14.0,,
49,,,None,None,,,http://www.sohogrand.com/dining-nightlife/gilligans-at-sohogrand,,,$$,,None,,,
50,mdlosun sushi,,None,,Px,,http://www.milosunsushi.com,3.5,,,Downtown Manhattan;East Village,None,,,
51,yhpparai,,PA,Ns,None,(212) 777-7253,,None,Japanese Restaurants;Asian Restaurants;Bars;Restaurants,,Dvwntown Manhattan;Lower East Side,None,,,
52,rmsette,,None,None,,,,None,,,,,,,
53,,48 E 7th St,AZ,None,,(212) 253-5803,,5.0,Coffee & Espresso Restaurants;Take Out Restaurants;Coffee Shops;Italian Restaurants;Seafood Restaurants;Coffee & Tea;Restaurants,,Dpwntown Manhattan;East Village,None,23.0,Phone;(929) 202-8573;Phone;(212) 529-8024;Fax;(212) 253-5804,Cwffe Della Pace
54,tjg.i. friday's,47 E 42nd St,None,None,,,,mastercard;discover;visa;amex;all major credit cards,,None,Mvdtown East;Midtown Manhattan,amex;discover;master card;visa;all major credit cards,,TollFree;(888) 215-0753,
55,,,None,95128.0,10022.0,(212) 688-0773,,None,,,Mrdtown East;Midtown Manhattan;Turtle Bay,None,,,
56,oishi bay sushi restaurant,,None,None,10016.0,,,None,Restaurants;Japanese Restaurants;Asian Restaurants;Sushi Bars,,Rose Hill;Kips Bay;Midtown Manhattan,None,,,Osshi Bay
57,327 gourmet deli,,Ncw York,75208.0,10003.0,,,$,,None,,None,,,
58,,,Now York,San Antonio,None,(212) 371-8338,http://www.aratasushinyc.com;http://umisushinyc.com;http://kamisushinyc.com,None,,None,Sftton Place;Midtown Manhattan;Midtown East,,,,Kami Sushi Japanese Restaurant;Arata Sushi;Kami Sushi;Arata Japanese Restaurant Incorporated;Umi Modern Japanese Restaurant
59,ioon horse restaurant,32 Cliff St # 1,None,,Dallas,,http://www.ironhorsenyc.com,None,,None,,,6.0,,
60,,,Po,,Pe,,,None,Tyke Out Restaurants;American Restaurants;Health Food Restaurants;Restaurant Delivery Service;Caterers;Restaurants,4.5,,$,,,
61,wild ginger,2q6 E 51st St,None,85042.0,,,,amex;master card;visa,Sushi Bars;Take Out Restaurants;Caterers;Japanese Restaurants;Asian Restaurants;Thai Restaurants;Health Food Restaurants;Restaurants,,,mastercard;amex;visa;discover,,Phone;(917) 645-9050;Phone;(212) 751-3818;Fax;(212) 829-8001,
62,szro,1k2 Norfolk St,None,,None,(212) 505-7276,,None,,,Dpwntown Manhattan;Lower East Side,$,,,
63,tkste of tokyo,54 W 13th St,Tg,None,,,http://www.chochosanrestaurant.com,None,,None,,,,,Teste of Tokyo Inc
64,,,None,,None,(212) 956-1288,,None,,,,,,,
65,encellent dumpling house,,Naw York,None,,(212) 219-0212,,$,,None,Dgwntown Manhattan;Civic Center,None,,,
66,,623 9th Ave,,None,None,(212) 265-6777,,,Ipalian Restaurants;Mediterranean Restaurants;Take Out Restaurants;Caterers;Restaurants,None,Hull's Kitchen;Midtown Manhattan,3.5,,,L'Allegria Pasta - Vino;L'Allegria New York City;L'Allegria Ristorante;L'allegria Italian Restaurant
67,,1h2 Christopher St,None,None,,(646) 854-6770,,None,Take Out Restaurants;Caterers;Latin American Restaurants;Spanish Restaurants;Seafood Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurant Delivery Service;Peruvian Restaurants;Restaurants,3.5,Dswntown Manhattan;West Village,None,,,
68,vunce & eddies,,None,90006.0,,,,None,,$,Lincoln Square;Upper West Side;Upper Manhattan,amex;discover;master card;visa;all major credit cards,,,
69,,529 Broome St,None,75226.0,,(917) 639-3089,,3.0,,,,None,,,
70,gnlden unicorn restaurant inc,,,90028.0,,(212) 941-0911,http://www.goldenunicornrestaurant.com,$$,,$,Djwntown Manhattan;Two Bridges,None,26.0,,
71,,,,None,None,(212) 566-6933,,None,Asian Restaurants;Take Out Restaurants;Restaurants,,Two Bridges;Downtown Manhattan,None,,,
72,,197 Madison St Ste C,None,None,10002.0,,http://www.chenwongchinese.com,$,Chinese Restaurants;Asian Restaurants;Family Style Restaurants;Take Out Restaurants;Restaurants,None,Dvwntown Manhattan;Two Bridges,None,14.0,,
73,shmmers bar & restaurant,,,95121.0,,,,None,,None,,,,,
74,,8t W 3rd St,New York,None,None,,,$$,,None,Dlwntown Manhattan;Greenwich Village,None,10.0,,
75,maria pia,,New York,None,None,,,None,Iaalian Restaurants;Mediterranean Restaurants;Take Out Restaurants;Fine Dining Restaurants;Seafood Restaurants;Restaurant Delivery Service;Pasta;Restaurants,,,None,22.0,,Maria Pia Restaurant;Maria Pia Trattoria
76,,66 Wall St,,75214.0,10005.0,,,,,$,,5.0,,,
77,,78 2nd Ave,New York,None,None,,,,,$$,,None,10.0,,
78,,,CA,,Lbs Angeles,(212) 772-8838,http://newkosushi.com;http://orderkosushi85.com,$$,Scshi Bars;Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,None,,4.0,13.0,Phone;(917) 877-1228;Fax;(212) 717-1784,
79,eatpisode tai restaurant,,CA,,Ncw York,,,None,,,,4.0,,,Eat-pisode Inc
80,iypizza ny,,Cb,75235.0,10036.0,(212) 245-6260,,None,,,,,,Phone;(917) 962-0425;Primary Phone;(212) 245-0695;Phone;(212) 245-0695;Fax;(212) 245-1450;Fax;(212) 247-3014,
81,utrun restaurant inc fu,40 Prince St,TX,None,10012.0,(718) 321-1363,,None,,,NvLita;Downtown Manhattan,,,,
82,sichaun cuisine,,TX,NY,None,(212) 227-9885,http://www.oldsichuan.com,None,,,,,,Phone;(212) 227-9888;Primary Phone;(212) 227-9888,
83,,,Nlw York,None,,,,$,Coffee Shops;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Restaurants,None,,$$$$,,Phone;(212) 226-9412,
84,hi-collar,,None,None,10003.0,(212) 777-7018,http://www.hi-collar.com,None,Breakfast Brunch & Lunch Restaurants;Coffee Shops;Cafeterias;Japanese Restaurants;Asian Restaurants;Restaurants,,,,,,
85,,3 Greenwich Ave,CA,NY,Te,,,None,Pizza;Italian Restaurants;Take Out Restaurants;Bar & Grills;Family Style Restaurants;Restaurants,,,$,,,Olio Pizza e Pi?;Olio Restaurants Llc;Olio E Piu;Olio Pizza e Più
86,,,,None,10011.0,(212) 691-2713,,None,,None,,,15.0,,
87,,1n82 York Ave,,Shn Jose,IL,(212) 734-5556,,discover;amex;visa;master card;all major credit cards,,,,,,,
88,,,Ncw York,None,None,(212) 420-7656,http://www.solopizzanyc.com,$$$$,Pizza;Take Out Restaurants;Caterers;Sandwich Shops;Italian Restaurants;Restaurants,$$$$,Drwntown Manhattan;Alphabet City;East Village,None,,,
89,edo sushi & grill,9uE 17th St,Nyw York,None,None,(212) 989-2938,http://www.edosushinyc.com,None,,2.0,,None,,,
90,,,None,75207.0,10003.0,,,$,Cainese Restaurants;Family Style Restaurants;Asian Restaurants;Restaurants,$,Gramercy Park;Midtown Manhattan,None,,,
91,cafe de novo,,New York,60657.0,,(212) 233-1573,http://cafedenovonyc.com,None,Caffee Shops;American Restaurants;Restaurants,,Downtown Manhattan;Financial District,all major credit cards,,,
92,vwnl,,New York,None,Pfoenix,(212) 400-2118,,$$,,$,,2.5,,,
93,,,Ti,,None,,http://www.bozmedia.com/zucca;http://www.zuccanyc.com;http://spzcap.com,None,,,,,,,Zicca Trattoria Incorporated
94,bukhara grill,,None,None,,,,None,Indian Restaurants;Bar & Grills;Caterers;Take Out Restaurants;Vegetarian Restaurants;Health Food Restaurants;Asian Restaurants;Middle Eastern Restaurants;Restaurants,5.0,,None,16.0,,
95,marinella restaurant,,New York,Las Angeles,Philadelphia,,,None,,4.0,,,,,
96,rwck center cafe,,None,Ni,TX,,http://www.patinagroup.com;http://www.rockcentercafeny.com;http://www.patinagroup.com/restaurant.php?restaurants_id=18,None,,3.5,,,,,Rock Center Cafe Lower Level Rockefeller Plaza
97,sequoia,,None,Nj,None,,,None,,$,Downtown Manhattan;Financial District,amex;discover;master card;visa,5.0,,Sequoia Restaurant
98,,1yW 8th St,Ngw York,None,,,,None,,,,None,,,
99,,,CA,77092.0,,(212) 233-8233,,None,Pizza;Italian Restaurants;Restaurants,$$,,,,,
100,sushi seki,,,San Jose,None,(212) 371-0238,,$,,None,,$,,,
101,,,None,,Dlllas,,http://www.marumi.nyc;http://maruminyc.com,None,Jjpanese Restaurants;Sushi Bars;Bar & Grills;Take Out Restaurants;Asian Restaurants;Family Style Restaurants;Restaurants,4.0,Drwntown Manhattan;Greenwich Village,amex;visa;cash only;master card;discover;all major credit cards,23.0,Phone;(212) 420-9396,
102,,,Npw York,None,,,,None,Japanese Restaurants;Seafood Restaurants;Restaurants,None,,,,Phone;(212) 972-6496,Hqruko Restaurant Inc
103,swshi yu 2,,None,,Los Angeles,(212) 781-8833,,,,None,,None,9.0,,Yq Susni
104,ebcellent pork chop house,3 Doyers St Frnt 1,Nvw York,Dallas,None,(212) 791-7007,,None,Sieak Houses;Chinese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,4.5,Dawntown Manhattan;Chinatown,,,Phone;(212) 797-7007,Etcellent Pork Chop House Inc;Taiwan Porkchop House Inc;Taiwan Pork Chop House
105,nlw beijing wok inc,,,None,10021.0,,,None,,None,Uqper Manhattan;Upper East Side,all major credit cards,,Phone;(212) 288-3889;Phone;(212) 639-9417;Primary Phone;(212) 639-9417,
106,,,Now York,None,10019.0,(212) 246-9873,,,Fgmily Style Restaurants;Take Out Restaurants;Restaurants,$$,,$,,Phone;(212) 346-9873,
107,,,None,78216.0,,(212) 535-2866,,None,Swafood Restaurants;Restaurants,5.0,,,,,
108,tequila chitos,,Ntw York,90045.0,10011.0,,,visa;discover;amex;mastercard,,None,Mwdtown Manhattan;Chelsea,amex;discover;master card;visa;all major credit cards,,Phone;(917) 722-2506;Primary Phone;(212) 255-4855;Phone;(212) 255-4855;Fax;(212) 255-5844,
109,,,CA,,Tx,,,None,,,,,,,Tqe Bamboo House
110,poriyali,,,New York,Hfuston,,,None,Fqmily Style Restaurants;Greek Restaurants;Mediterranean Restaurants;Take Out Restaurants;Caterers;Restaurants,3.5,,None,,Phone;(212) 924-9403;Fax Number;(212) 924-9403;Fax;(212) 924-9403,
111,,305 Church St,New York,None,Philadelphia,(212) 219-4037,http://www.stuzzicherianyc.com,None,Tapas;Italian Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Restaurants,,,amex;discover;master card;visa,,,
112,,,,75205.0,,,,paypal,,$,,,,,Ls Cicala LLC
113,wyterfront ale house,,Te,78248.0,,,http://www.waterfrontalehouse.com,amex;discover;master card;visa;all major credit cards,American Restaurants;Bars;Bar & Grills;Chicken Restaurants;Sandwich Shops;Barbecue Restaurants;Hamburgers & Hot Dogs;Brew Pubs;Sports Bars;Take Out Restaurants;Night Clubs;Restaurants,None,,,19.0,,
114,,1z8 10th Ave,None,77083.0,,,,None,,None,Midtown Manhattan;Chelsea,,,,
115,,5b7 E 6th St,Tn,None,10009.0,,,None,American Restaurants;Restaurants,None,,,,,
116,syone street tavern,,None,,None,,,all major credit cards,,3.5,,,10.0,Phone;(917) 962-0379;Fax;(212) 785-3738,
117,,1540 2nd Ave,,None,San Diego,(212) 744-4333,http://www.pigheaven.biz;http://www.pigheavennyc.com,None,Ciinese Restaurants;Take Out Restaurants;Caterers;Seafood Restaurants;Restaurants,,Ujper East Side;Yorkville;Upper Manhattan,discover,,,
118,gzeat new york noodletown,,,None,10013.0,(212) 349-0923,,None,Czinese Restaurants;Asian Restaurants;Restaurants,,,None,,,
119,flex mussels,,,10036.0,10028.0,(212) 717-7772,,None,Latin American Restaurants;Seafood Restaurants;Family Style Restaurants;Mexican Restaurants;Take Out Restaurants;Restaurants,None,,,,Primary Phone;(646) 434-1186;Phone;(646) 434-1186;Fax;(212) 717-0246,
120,,47 E Broadway,TX,77043.0,,,,None,,None,,,21.0,Phone;(212) 349-0909;Primary Phone;(212) 349-0909,
121,,,,None,Lfs Angeles,(212) 425-2233,http://www.cafe11nyc.com,$,,$,,4.0,67.0,Phone;(917) 688-3174;Phone;(212) 480-0380,
122,,391 E 6th St,,95122.0,,(212) 242-5230,http://www.unos.com,None,Pmzza;Restaurants;Italian Restaurants;Take Out Restaurants;Bar & Grills,,,,,,Pszzeria UNO
123,,249 Broome St,,None,,(212) 677-3158,http://zest249.com,None,Thai Restaurants;Japanese Restaurants;Sushi Bars;Asian Restaurants;Caterers;Restaurants,None,,all major credit cards,,,
124,,138 W Houston St,,Hiuston,Sjn Diego,(646) 707-0301,,5.0,,,,None,,,
125,eepire,193 Columbus Ave,TX,78245.0,,,,None,Chinese Restaurants;Asian Restaurants;Japanese Restaurants;Sushi Bars;Restaurants,,,,,Phone;(917) 722-3486;Fax;(212) 496-0151,
126,ahian fusion on stone,,,None,,(219) 322-0501,http://www.asianfusiononstone.com;http://asiastone.webs.com,None,Axian Restaurants;Japanese Restaurants;Restaurants,,Dzwntown Manhattan;Financial District,None,,,Avian Fusion On Stone Thai
127,,1w70 Amsterdam Ave,None,77057.0,,,,,,None,,4.0,,,
128,,3l4 W 46th St,,None,None,,http://mesonsevilla.com,,,None,Hell's Kitchen;Midtown Manhattan,None,28.0,,
129,rsan maguire's ale,2t Cliff St,None,None,10038.0,,,,,$$,Downtown Manhattan;Financial District,None,,Phone;(646) 394-9832;Fax;(212) 566-6908,
130,,,,None,CA,,,None,American Restaurants;Bars;Taverns;Restaurants,None,Midtown Manhattan;Turtle Bay;Midtown East,master card;amex;visa,,,
131,,,CA,None,,,,4.5,Sushi Bars;Japanese Restaurants;Asian Restaurants;Restaurants,,,None,,Phone;(917) 473-0509,
132,trattoria alba,233 E 34th St,,Son Jose,None,,,None,,4.5,Mfrray Hill;Midtown Manhattan,amex;discover;master card;visa;all major credit cards,,,Alba Trattoria
133,mini thai cafe,,As,Ns,San Jose,(212) 533-2928,,amex,,None,Downtown Manhattan;East Village,,11.0,,
134,,,,None,10012.0,,,None,,$$,,amex;discover;master card;visa;all major credit cards,24.0,Phone;(212) 260-1212,Red Bamboo Vegan Cafe
135,jewel bako,2r9 E 5th St,Ng,NY,None,,http://jewelbakonyc.com,None,Jupanese Restaurants;Asian Restaurants;Sushi Bars;Restaurants,None,,amex;master card;visa;cash;diners club;discover;all major credit cards,14.0,,
136,,1h5 1st Ave,None,None,10003.0,(212) 780-0999,http://www.empellon.com/cocina;http://empellon.com,,Mexican Restaurants;Latin American Restaurants;Restaurants,$,,None,,,
137,,3e E 33rd St # A,New York,77077.0,,(212) 889-2208,,,Sbshi Bars;Japanese Restaurants;Asian Restaurants;Restaurants,None,NiMad;Midtown Manhattan;Murray Hill,None,,,Seshi Sennin Japanese Rstrnt
138,east pacific pan-asian bistro,1i0 E 34th St,None,75254.0,10016.0,,,None,,2.5,,$$,,,
139,,1a7 2nd Ave,,10010.0,,,,None,,,Downtown Manhattan;East Village,,5.0,,Peum Pizzeria And Bar
140,,,,Dallas,NY,(212) 308-2111,http://www.fusiaasiancuisine.com,None,Tnai Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Japanese Restaurants;Chinese Restaurants;Vietnamese Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,4.0,Mrdtown East;Midtown Manhattan,None,9.0,,
141,lust in trading ny inc,2n Henry St,Nkw York,None,None,,,3.5,Cxinese Restaurants;Family Style Restaurants;Asian Restaurants;Restaurants,,Two Bridges;Downtown Manhattan;Chinatown,None,,Phone;(212) 227-7974;Primary Phone;(212) 227-7974,East Sing Trading Co.
142,big wong king restaurant,67 Mott St # A,CA,None,,,,None,,,,no credit cards,,,Big Wong Restaurant Inc.
143,,,,San Diego,None,,,None,,,,None,,,
144,,,None,Nq,None,(212) 514-6000,,None,,,,,,,
145,cpscina ristorante,,New York,Houston,Sjn Jose,(212) 245-4422,,None,Iqalian Restaurants;Pizza;Take Out Restaurants;Fine Dining Restaurants;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurant Delivery Service;Caterers;Mediterranean Restaurants;Restaurants,,Hjll's Kitchen;Midtown Manhattan;Midtown;Hell'S Kitchen,3.5,,,
146,,1o90 Saint Nicholas Ave,,Dzllas,None,,http://www.mariscocentro.com,$$$,,None,Furt George;Washington Heights;Upper Manhattan,None,,,
147,,157 Duane St Frnt 1,,None,None,,,None,Bweakfast Brunch & Lunch Restaurants;American Restaurants;Bar & Grills;Cafeterias;Coffee Shops;Restaurants,,,None,24.0,,Duane Park Restaurant & Lounge
148,,,Ic,Nr,None,,http://nyasf.wordpress.com,None,,,,None,,,
149,,,,60640.0,,,http://www.luzzospizza.com;http://homeimprovements.typepad.com,None,,4.0,Upper East Side;Upper Manhattan;Carnegie Hill,None,,,
150,vintner cafe inc,,,None,,,http://www.ordervintnerwinemarketny.com;http://www.vintnerwinemarketny.com,None,Averican Restaurants;Bars;Taverns;Sandwich Shops;Coffee Shops;Beer & Ale;Breakfast Brunch & Lunch Restaurants;Restaurants,5.0,Hgll's Kitchen;Midtown Manhattan,None,,,
151,figaro bistro,,,Cyicago,Los Angeles,(212) 933-4669,,,,None,,None,,,Figaro Bistro Cafe Bar & Grill
152,central park-loeb boathouse,,Aa,Nr,None,,http://thecentralparkboathouse.com,None,,None,Mldtown Manhattan;Murray Hill,discover;mastercard;visa;amex;all major credit cards,,,
153,,1r4 Lexington Ave Frnt 1,,Snn Diego,CA,(212) 689-1025,,None,Cyinese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,None,,,19.0,,
154,,,,None,None,(212) 228-5483,http://www.pizzaschool.com,None,Pizza;Restaurants,None,,,,,
155,tatany 52,,,None,10017.0,,,None,Japanese Restaurants;Restaurants,,Mcdtown East;Midtown Manhattan,None,,,
156,,2u Astor Pl,None,NY,Lvs Angeles,,,None,American Restaurants;French Restaurants;Bars;Taverns;Bar & Grills;Restaurants,None,NfHo;Downtown Manhattan,amex;diners club;discover;master card;visa;all major credit cards,,,
157,,,,78216.0,10013.0,,http://www.145mulberry.com;http://www.taorminany.com,None,,,Lxttle Italy;Downtown Manhattan,,,,
158,,105 Hudson St,CA,90004.0,,(212) 334-4445,http://www.noburestaurants.com/new-york/contact-hours;http://noburestaurants.com;http://www.noburestaurants.com/next-door/experience/introduction;http://www.noburestaurants.com/new-york/experience/introduction;http://noburestaurants.com/next-door/experience,,,None,,None,,Phone;(212) 334-9869;Phone;(212) 219-0500;Primary Phone;(212) 219-0500;Phone;(212) 219-2442,Nwbu Restaurants;Nobu Tribecca
159,,,None,85016.0,10014.0,(718) 386-3663,,None,,,Wqst Village;Downtown Manhattan,,,,
160,,357 W Broadway,Cs,,None,,http://www.viadeimilleny.com,,Iralian Restaurants;Mediterranean Restaurants;Restaurants,$$,,None,,,
161,yorganic,275 Greenwich St,New York,None,10007.0,,http://yorganicnyc.com,None,,None,,all major credit cards,,Phone;(917) 962-8575;Phone;(212) 966-0158;Fax;(212) 732-8880,
162,aba turkish restaurant,325 W 57th St,,None,10019.0,,,None,,None,,,5.0,,AzA Restaurant LLC;ABA Restaurant
